,date,code,weight
13,2014-08-29,600729.SH,0.08214651755631518
14,2014-08-29,600329.SH,0.1009509283817233
0,2014-09-30,600438.SH,0.0982414203549865
1,2014-09-30,600723.SH,0.0548180029858057
2,2014-09-30,000418.SZ,0.0791647788409708
3,2014-09-30,000935.SZ,0.04284946141060238
4,2014-09-30,002091.SZ,0.058221084508839116
5,2014-09-30,002225.SZ,0.06183035430023004
6,2014-09-30,002419.SZ,0.09352825054045802
7,2014-09-30,000587.SZ,0.0679996059678017
8,2014-09-30,002221.SZ,0.08286641537103138
9,2014-09-30,000501.SZ,0.06667201756495213
10,2014-09-30,601678.SH,0.057324561911600756
11,2014-09-30,000759.SZ,0.05592387500525136
12,2014-09-30,600195.SH,0.0622018607468911
13,2014-09-30,002663.SZ,0.07217509585950271
14,2014-09-30,601388.SH,0.046183214631076226
0,2014-10-31,601616.SH,0.06767608068019801
1,2014-10-31,002083.SZ,0.06379983474612969
2,2014-10-31,002305.SZ,0.08494408100560072
3,2014-10-31,600449.SH,0.057951698789183714
4,2014-10-31,600510.SH,0.07267958960849005
5,2014-10-31,600467.SH,0.05658581714096684
6,2014-10-31,000935.SZ,0.05242887591508479
7,2014-10-31,601566.SH,0.09195380853962856
8,2014-10-31,603001.SH,0.07841041797319728
9,2014-10-31,600439.SH,0.05081569750765064
10,2014-10-31,601388.SH,0.055666343164017563
11,2014-10-31,000680.SZ,0.0584649712605333
12,2014-10-31,601678.SH,0.06816979783017904
13,2014-10-31,600780.SH,0.07200023141779742
14,2014-10-31,600298.SH,0.0684527544213423
0,2014-11-28,002083.SZ,0.05247926029778705
1,2014-11-28,002392.SZ,0.07625885419348971
2,2014-11-28,002225.SZ,0.06344137420834106
3,2014-11-28,601616.SH,0.05021095307761087
4,2014-11-28,600337.SH,0.06501472183727844
5,2014-11-28,002204.SZ,0.11643565146998941
6,2014-11-28,601126.SH,0.07520743540077267
7,2014-11-28,600491.SH,0.04126687202706511
8,2014-11-28,601965.SH,0.08191060596298634
9,2014-11-28,600059.SH,0.06874035946083808
10,2014-11-28,600183.SH,0.09779034152371939
11,2014-11-28,600456.SH,0.0749126742949163
12,2014-11-28,002254.SZ,0.05236838209012894
13,2014-11-28,000935.SZ,0.04094760752634768
14,2014-11-28,600467.SH,0.043014906628728866
0,2014-12-31,002083.SZ,0.055577702198647966
1,2014-12-31,601208.SH,0.05953726736975741
2,2014-12-31,600456.SH,0.08300074178530564
3,2014-12-31,002574.SZ,0.05947676696447788
4,2014-12-31,002194.SZ,0.06475002291504996
5,2014-12-31,000090.SZ,0.082238936890135
6,2014-12-31,600298.SH,0.06562813742973143
7,2014-12-31,002612.SZ,0.04947006347726604
8,2014-12-31,601566.SH,0.0796814929953755
9,2014-12-31,002254.SZ,0.06248360960973732
10,2014-12-31,601011.SH,0.041102727922593674
11,2014-12-31,601126.SH,0.07515295462430555
12,2014-12-31,000525.SZ,0.08499041523098448
13,2014-12-31,002225.SZ,0.0619223231108618
14,2014-12-31,002293.SZ,0.07498683747577037
0,2015-01-30,002225.SZ,0.07130098052521912
1,2015-01-30,600467.SH,0.052279171037195836
2,2015-01-30,002342.SZ,0.06137622252059016
3,2015-01-30,002194.SZ,0.06561813508493958
4,2015-01-30,600439.SH,0.04719293071738029
5,2015-01-30,000900.SZ,0.06544040850785646
6,2015-01-30,601777.SH,0.09363599350360706
7,2015-01-30,600059.SH,0.07081692587719801
8,2015-01-30,600851.SH,0.10387016666460687
9,2015-01-30,600488.SH,0.05524252324612446
10,2015-01-30,002083.SZ,0.04650329145504638
11,2015-01-30,000877.SZ,0.076344713638927
12,2015-01-30,601965.SH,0.08128350680207216
13,2015-01-30,600736.SH,0.05726152973545595
14,2015-01-30,600586.SH,0.05183350068378074
0,2015-02-27,600006.SH,0.12637737855808262
1,2015-02-27,000667.SZ,0.07027428652641869
2,2015-02-27,600162.SH,0.04686398267077496
3,2015-02-27,600743.SH,0.067652591957544
4,2015-02-27,600260.SH,0.05203856545137907
5,2015-02-27,600064.SH,0.0804644832256096
6,2015-02-27,002083.SZ,0.04426746717313755
7,2015-02-27,600790.SH,0.06216839350738594
8,2015-02-27,000631.SZ,0.05915155251817699
9,2015-02-27,000926.SZ,0.06390561715040487
10,2015-02-27,600239.SH,0.04826995583110126
11,2015-02-27,600337.SH,0.06461276397782963
12,2015-02-27,002244.SZ,0.08898513639151226
13,2015-02-27,600059.SH,0.05917569728003002
14,2015-02-27,000090.SZ,0.06579212778061255
0,2015-03-31,000900.SZ,0.06388778855122632
1,2015-03-31,600284.SH,0.07118826346611784
2,2015-03-31,000886.SZ,0.03982593628523921
3,2015-03-31,600260.SH,0.04711036331492647
4,2015-03-31,600325.SH,0.08097880322883669
5,2015-03-31,600467.SH,0.03713812750162248
6,2015-03-31,603366.SH,0.06009449183381281
7,2015-03-31,000620.SZ,0.094908580555633
8,2015-03-31,002244.SZ,0.11082140643892059
9,2015-03-31,000926.SZ,0.05266600597601854
10,2015-03-31,601258.SH,0.16114553118726704
11,2015-03-31,000973.SZ,0.04654400657339936
12,2015-03-31,601101.SH,0.06089282296472017
